path,label
Apple_Disease/valid/apple_scab/af82e889-9ec0-437c-85b8-7a6a5caf73a1___FREC_Scab 3338_270deg.JPG,apple_scab
Apple_Disease/valid/apple_scab/e8f5c962-6f40-443e-9913-5a43b5f2ef07___FREC_Scab 3191_270deg.JPG,apple_scab
Apple_Disease/valid/apple_scab/52d5723a-b498-4759-89a1-a7d815689716___FREC_Scab 3034_new30degFlipLR.JPG,apple_scab
Apple_Disease/valid/apple_scab/a3824376-87d9-464c-b78e-e35d029d43f2___FREC_Scab 3249_new30degFlipLR.JPG,apple_scab
Apple_Disease/valid/apple_scab/e3891103-ded4-418f-bae1-91c282a30dcb___FREC_Scab 3159.JPG,apple_scab
Apple_Disease/valid/apple_scab/517d0958-b10e-4260-a736-7a4bbb9706c0___FREC_Scab 3497.JPG,apple_scab
Apple_Disease/valid/apple_scab/45e34a1f-1d46-42e8-921d-c82f2c9e7cd1___FREC_Scab 3228_270deg.JPG,apple_scab
Apple_Disease/valid/apple_scab/41c30a63-9e26-4ced-8110-038a2e36b095___FREC_Scab 3298_270deg.JPG,apple_scab
Apple_Disease/valid/apple_scab/d01086a5-c14e-424a-8825-47343752c0a0___FREC_Scab 3170_90deg.JPG,apple_scab
Apple_Disease/valid/apple_scab/659a6491-b20d-4ff6-a3be-243266b4df0c___FREC_Scab 3155_270deg.JPG,apple_scab
Apple_Disease/valid/apple_scab/6b5e1187-9b7b-4b4c-912f-b2175619f35f___FREC_Scab 3121_270deg.JPG,apple_scab
Apple_Disease/valid/apple_scab/808207df-2000-4050-a720-bd23997710b8___FREC_Scab 3270.JPG,apple_scab
Apple_Disease/valid/apple_scab/84ca9b3d-80c2-476a-a3ae-c085ea721548___FREC_Scab 3132_270deg.JPG,apple_scab
Apple_Disease/valid/apple_scab/64e20068-6685-4a30-a812-fd817117d628___FREC_Scab 3485.JPG,apple_scab
Apple_Disease/valid/apple_scab/f6144504-015b-426e-a967-0712cf7621e4___FREC_Scab 3420_270deg.JPG,apple_scab
Apple_Disease/valid/apple_scab/fc9c12dc-1bdb-402d-ada8-dc1b33c84d5b___FREC_Scab 2932_new30degFlipLR.JPG,apple_scab
Apple_Disease/valid/apple_scab/24d43ad3-24e6-4236-8ef7-59b268520ca3___FREC_Scab 3533_90deg.JPG,apple_scab
Apple_Disease/valid/apple_scab/09e40e4f-f8bc-4537-b20d-0b244760dbf4___FREC_Scab 3216_new30degFlipLR.JPG,apple_scab
Apple_Disease/valid/apple_scab/8df36a92-b562-4bff-975b-ff08d8da40f6___FREC_Scab 3119_270deg.JPG,apple_scab
Apple_Disease/valid/apple_scab/3652fd23-ba4c-4958-8db8-3aff8f614dfd___FREC_Scab 3377_90deg.JPG,apple_scab
Apple_Disease/valid/apple_scab/2a97b29d-8a63-47ab-bd5b-c14832a586c8___FREC_Scab 3242_90deg.JPG,apple_scab
Apple_Disease/valid/apple_scab/bc7769cc-805e-42ef-bbcf-0c134ff03276___FREC_Scab 2909_new30degFlipLR.JPG,apple_scab
Apple_Disease/valid/apple_scab/44b52928-c5dd-48f4-b2c8-b128032c49dd___FREC_Scab 3518_90deg.JPG,apple_scab
Apple_Disease/valid/apple_scab/320dff9e-6d59-4bec-9e7c-930444343e3b___FREC_Scab 3398_270deg.JPG,apple_scab
Apple_Disease/valid/apple_scab/22c12d6a-3c17-45be-b53b-f17f1b3f5168___FREC_Scab 3206_new30degFlipLR.JPG,apple_scab
Apple_Disease/valid/apple_scab/c745cec0-6c89-4bee-b0c2-a71a925b7f1b___FREC_Scab 3227.JPG,apple_scab
Apple_Disease/valid/apple_scab/6b9ef56b-3338-4d2b-a5e4-a1547234e6d6___FREC_Scab 3474.JPG,apple_scab
Apple_Disease/valid/apple_scab/0a5e9323-dbad-432d-ac58-d291718345d9___FREC_Scab 3417_new30degFlipLR.JPG,apple_scab
