path,label
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0117.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0221.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0074.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0092.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0225.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0053.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0192.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0163.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0085.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0135.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0250.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0155.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0052.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0137.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0240.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0111.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0143.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0171.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0112.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0176.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0084.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0193.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0012.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0161.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0249.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0158.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0015.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0206.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0042.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0231.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0038.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0105.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0058.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0254.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0245.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0174.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0169.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0152.JPG,Alstonia Scholaris diseased (P2a)
plant_leaves/valid/Alstonia Scholaris diseased (P2a)/0014_0178.JPG,Alstonia Scholaris diseased (P2a)
